id,tx_id,tx_hash,output_index,capacity,lock_script_id,type_script_id,data,data_size,data_hash,occupied_capacity,block_number,block_timestamp,is_spent,consumed_tx_hash,input_index,consumed_block_number,consumed_timestamp,type_code_hash,type_args,type_script_hash,type_hash_type,lock_code_hash,lock_args,lock_script_hash,lock_hash_type
2,1,\xe2fb199810d49a4d8beec56718ba2593b665db9d52299a0f9e6e75416d73ff5c,1,10000000000000,1,2,\x,52048,\x709f3fda12f561cfacf92273c57a98fede188a3f1a59b1f888d113f9cce08649,5215400000000,0,1573852190812,0,\x,-1,,,\x00000000000000000000000000000000000000000000000000545950455f4944,\x8536c9d5d908bd89fc70099e4284870708b6632356aad98734fcf43f6f71c304,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,1,\x0000000000000000000000000000000000000000000000000000000000000000,\x,\x77c93b0632b5b6c3ef922c5b7cea208fb0a7c427a13d50e13d3fefad17e0c590,0
3,1,\xe2fb199810d49a4d8beec56718ba2593b665db9d52299a0f9e6e75416d73ff5c,2,1600000000000,1,3,\x,8096,\x32064a14ce10d95d4b7343054cc19d73b25b16ae61a6c681011ca781a60c7923,820200000000,0,1573852190812,0,\x,-1,,,\x00000000000000000000000000000000000000000000000000545950455f4944,\xb2a8500929d6a1294bf9bf1bf565f549fa4a5f1316a3306ad3d4783e64bcf626,\x82d76d1b75fe2fd9a27dfbaa65a039221a380d76c926f378d3f81cf3e7e13f2e,1,\x0000000000000000000000000000000000000000000000000000000000000000,\x,\x77c93b0632b5b6c3ef922c5b7cea208fb0a7c427a13d50e13d3fefad17e0c590,0
5,1,\xe2fb199810d49a4d8beec56718ba2593b665db9d52299a0f9e6e75416d73ff5c,4,10000000000000,1,4,\x,52424,\x43400de165f0821abf63dcac299bbdf7fd73898675ee4ddb099b0a0d8db63bfb,5253000000000,0,1573852190812,0,\x,-1,,,\x00000000000000000000000000000000000000000000000000545950455f4944,\xd813c1b15bd79c8321ad7f5819e5d9f659a1042b72e64659a2c092be68ea9758,\x5c5069eb0857efc65e1bca0c07df34c31663b3622fd3876c876320fc9634e2a8,1,\x0000000000000000000000000000000000000000000000000000000000000000,\x,\x77c93b0632b5b6c3ef922c5b7cea208fb0a7c427a13d50e13d3fefad17e0c590,0
1025967,867290,\xc873e91aaae2cac17c6b72e6b6cb58e2334a5e9a5c912d64c21c3a29a7166d29,0,800000000000,20855,,\x,7800,\xe3df45611c46023c6abe2cdc536c0ad1dc28f84d31d26ea780f9ccce0cf26a4f,786100000000,745410,1580889591447,1,\x24d15e194721e2773fba2ef15f77c18d94571ef7521320f2180103916febdec6,0,745859,1580893665423,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1026528,867799,\x24d15e194721e2773fba2ef15f77c18d94571ef7521320f2180103916febdec6,0,800000000000,20855,,\x,7800,\xe3df45611c46023c6abe2cdc536c0ad1dc28f84d31d26ea780f9ccce0cf26a4f,786100000000,745859,1580893665423,1,\x9f32fdcc102b6f964f2b5d752e9de2403a2a672f4f3530b6854833c5324e0819,0,746220,1580897524489,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1026985,868215,\x9f32fdcc102b6f964f2b5d752e9de2403a2a672f4f3530b6854833c5324e0819,0,800000000000,20855,,\x,5341,\xda7706969c576ec545a75cb4d67b6e17ee9ce9d753d567e84fa41b955f87b028,540200000000,746220,1580897524489,1,\x4e0994baddb090da57f19c0934cbc7646119113b1c63328e5026e8eb05746cec,0,752136,1580954072172,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1027291,868495,\xb54d7f768cdc4a9b49017820c3f1a5abfed2944acb3f42101072c3cc191efd3a,0,900000000000,20855,,\x,7800,\xe3df45611c46023c6abe2cdc536c0ad1dc28f84d31d26ea780f9ccce0cf26a4f,786100000000,746467,1580900285042,1,\xbfd867a24961dd3563b1ea31b4c70c93ca32c609d0f86b2d22f570fb009484f3,0,752183,1580954490369,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1036211,876217,\x00ee146fd90ce3e3cc818525dae467c01e6e04ae722bee6fd3849fd2a4f34222,0,900000000000,20855,,\x,7760,\xdb4e0c873a26c346a7851fca8a337904f2c3bde23908cad7bbec68df2df54114,782100000000,753339,1580967835593,1,\x40d843ea8aebc1baa696a1317c5967d5651ab124d21df4cef8a5c001f45f10ac,0,754030,1580975774182,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1036663,876626,\x9a7ec1e6d9d96829f066562b563d9b754399ec2b76d5af0c4a9f85a917474602,0,2500000000000,20855,,\x,19648,\x760aba0206c0ad0dbb65d176fc7aab4f0270433a38e0a58231c75573bcb37f03,1970900000000,753692,1580972147056,1,\x40d843ea8aebc1baa696a1317c5967d5651ab124d21df4cef8a5c001f45f10ac,1,754030,1580975774182,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
1037714,877475,\x215dee2996a80fe9c03ef052982ed493e5e0424f15b935fe1c6cd94020eb33e5,0,2500000000000,20855,,\x,19464,\x52922096fb397263b64a79be8c80cd17724a78c66a599ad43dc6a6db084c3cf8,1952500000000,754426,1580979318733,1,\x8de2b1fac8afdd8d4ba766a5c15fc9374fdf7ec9107c2ad6800f5cc7a9545dc9,1,754750,1580981774765,,,,,\x9bd7e06f3ecf4be0f2fcd2188b23f1b9fcc88e5d4b65a8637b17723bbda3cce8,\xeebf3f76bd5ed0b1991a0b69ef086d207f480279,\xb7ebf94a3845312206946a4f21b632f409c897ca19eadc4adf96301d2ca43846,1
